2025/01/02 20:27:25 [error] 9#9: *15 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/login.php"
2025/01/02 20:27:33 [error] 9#9: *16 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/02 20:27:35 [error] 9#9: *25 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/settings.php"
2025/01/02 20:27:37 [error] 9#9: *25 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 11:32:53 [error] 9#9: *28 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 11:32:55 [error] 9#9: *28 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/login.php"
2025/01/03 11:32:56 [error] 9#9: *30 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 11:33:52 [error] 9#9: *33 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/login.php"
2025/01/03 11:38:28 [error] 9#9: *38 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 11:38:59 [error] 9#9: *43 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 11:39:03 [error] 9#9: *47 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 11:39:04 [error] 9#9: *46 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/login.php"
2025/01/03 11:39:13 [error] 9#9: *47 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 11:42:42 [error] 9#9: *52 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 12:01:40 [error] 9#9: *99 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
